hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
Molyma Resorts,Palolem,| 2.5 km drive to Deltin Royale,3,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹2,125 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Saga De Petra A 4BHK Villa in the Heart of Anjuna,Anjuna,| 10 minutes walk to Calangute Beach,4.2,"['Housekeeping', 'Entire Villa']","₹20,201 per night",Like a 3 Star,Entire Villa,| 4 Bedrooms | Sleeps 16 guests,CoupleFriendly
The St. Regis Goa Resort,Cavelossim,| 2.3 km drive to Vagator Beach,4.8,"['| 3 Bedrooms | Sleeps 12 guests', 'Caretaker']","₹1,28,700 per night",null,null,null,CoupleFriendlyBreakfastIncludedPayAtHotel
Casa Bri Bon,Calangute,| 2.0 km drive to Vagator Beach,4,"['Housekeeping', 'Entire Apartment']","₹2,926 per night",null,null,null,CoupleFriendly
The Golden Crown Hotel & Spa,Colva,null,3.3,"['| 1 Bedroom | Sleeps 4 guests', 'Reception']","₹4,311 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
HOTEL AVISHA RESIDENCY,Vasco Da Gama,| 1.3 km drive to Calangute Beach,3.2,"['Caretaker', 'Swimming Pool']",₹904 per night,null,null,null,CoupleFriendlyFreeCancellationBook@₹0availablePayAtHotelBreakfastavailableatextracharges
Sea Breeze Beach Calangute,Calangute,null,2.7,"['Gym', 'Entire Villa']","₹2,948 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Saga De Petra G 4BHK Villa in the heart of Anjuna,Anjuna,| 1.2 km drive to Candolim Beach,3.8,"['| 2 Bedrooms | Sleeps 8 guests', 'Caretaker']","₹16,969 per night",Like a 3 Star,Entire Villa,| 4 Bedrooms | Sleeps 16 guests,CoupleFriendly
Baga - Rud Inn,Baga,| 4 minutes walk to Deltin Royale,4.1,"['Housekeeping', 'Room in an Apartment']","₹1,995 per night",null,null,null,CoupleFriendly
FabExpress De Classio With Pool - Nr. Candolim Beach,Nerul,| 1.4 km drive to Calangute Beach,3.8,"['| 1 Bedroom | Sleeps 4 guests', 'Reception']","₹1,899 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesJust500metersfromthelivelyLPKClub,perfectfornightlifelovers."
2bhk family apartment near calangute beach,Calangute,null,3,"['Free Wi-Fi', 'null']","₹14,747 per night",null,Entire Apartment,| 2 Bedrooms | Sleeps 8 guests,FreeCancellationBook@₹0available10%DiscountOnAirportTransfer
Localvibe - Aishwaryam 5BHK with private pool in North Goa,Povorim,null,4.2,"['Luggage Storage', 'Parking']","₹31,465 per night",null,Entire Villa,| 5 Bedrooms | Sleeps 20 guests,CoupleFriendly
Clifftop Cottages,Calangute,| 10 minutes walk to Candolim Beach,2.7,"['Free Parking', 'Seating Area']","₹4,244 per night",null,null,null,CoupleFriendly
Casa Coco,Bardez,null,3.9,"['Swimming Pool', 'Restaurant']","₹48,155 per night",null,Entire Villa,| 4 Bedrooms | Sleeps 16 guests,"CoupleFriendlyEntirevillafeaturingacaretaker,terracesit-out&seaviews"
Luxurious Villa with private pool  @ Vagator,Vagator,| 2 minutes walk to Calangute Beach,null,"['Lawn', 'Luggage Storage']","₹37,636 per night",null,Entire Villa,| 3 Bedrooms | Sleeps 12 guests,CoupleFriendly
